Date,Description,Amount
2024-01-01,STRIPE PAYOUT,2500.0
2024-01-02,CLIENT PAYMENT - ACME Corp,1500.0
2024-01-03,INVOICE #1234 - Consulting,3200.0
2024-01-05,PayPal Transfer,850.0
2024-01-08,Product Sale - Online Store,425.5
2024-01-04,UBER *EATS,-18.75
2024-01-04,UBER *TRIP,-24.5
2024-01-06,WOOLWORTHS,-87.3
2024-01-07,COLES SUPERMARKET,-125.6
2024-01-09,AWS,-142.99
2024-01-10,OFFICEWORKS,-56.45
2024-01-11,SALARY PAYMENT,-4200.0
2024-01-12,BANK FEES - Monthly,-15.0
2024-01-13,Netflix Subscription,-15.99
2024-01-14,Adobe Creative Cloud,-52.99
2024-01-15,GOOGLE ADS,-180.0
2024-01-16,Myki Top-up,-50.0
2024-01-17,Officeworks,-32.5
2024-01-18,Telstra Bill Payment,-85.0
2024-01-19,Accounting Software Subscription,-39.0
2024-01-20,Deloitte Consulting Fee,-2500.0
2024-01-21,Office Rent February,-1800.0
2024-01-22,Electricity Bill,-125.4
2024-01-23,Random Merchant XYZ,-45.0
2024-01-24,Unknown Vendor ABC,-78.25
